══ 하나씩 빼 보기 (v1.4) · 엔딩 날(D) 중앙값 · 멈춘 월드 ══
변형                               std    light    hasty  hoarder    night   범위
v1.4 전부                      30.4     28.9     30.8     24.3     36.3     12.0일
− 빈틈 걷기 (떠남)                 31.4     29.4     31.4     23.9     53.8     30.0일
− 누적 즐거움 결재 (동시 인원)          10.9     10.9     23.4      7.4     19.9     16.0일
− 승진 발령                      32.4     30.4     32.4        —     37.8     7.4일
− 근속 이월                      28.4     26.9     28.3     23.9     33.9     10.0일
− 퇴사                         30.4     28.9     30.4     24.3        —     6.1일
− 수입 곡선                      30.4     28.9     30.8     24.3     36.3     12.0일
− 막대 눈금 보상 (F1)              31.9     29.9     31.9     25.3     37.8     12.5일
− 5장 ③ 식구 (F2)               30.4     28.4     30.8     24.3     35.8     11.5일
− 엘리트 (E)                    31.4     27.9     29.9     23.9     36.6     12.7일
− 필드 보스 (E)                  31.8     29.9     31.3     25.3     37.6     12.2일
− 첫 10분 한 바퀴 (T)             31.8     28.9     31.4     25.8     35.9     10.1일
− 파티 도착·팁 (버프로)              29.4     29.4     30.8     24.3     35.4     11.0일
− 구간 개방                      29.3     27.4     29.6     23.9     35.8     12.0일
− 새내기 첫 진화                   30.3     29.9     29.4     24.5     35.6     11.0일
− 초반 사냥터·자리 12               38.5     36.9     37.9     30.8     43.4     12.5일
− 싼 초반 값                     29.9     28.9     29.8     24.3     35.5     11.2일
(† = 즐기는 모험가 0으로 멈춘 월드 수, — = 70일 안에 엔딩 못 봄)
