
> msw-inc@1.0.0 audit /home/user/proto/projects/msw-inc/app
> tsx src/sim/tools/audit.ts "--" "--ablate" "--part" "1/2" "--json" "../notes/data/audit-v17.json"


══ 하나씩 빼 보기 · 엔딩 날(D) 중앙값 · 멈춘 월드 ══
변형                               std    light    hasty  hoarder    night   범위
− 빈틈 걷기 (떠남)                 32.3     28.8     33.4     24.3     39.5     15.2일
− 승진 발령                      32.9     29.9     33.8        —     37.6     7.7일
− 퇴사                         31.4     28.9     31.4     23.9        —     7.5일
− 막대 눈금 보상 (F1)              32.4     29.9     31.4     25.3     33.9     8.6일
− 엘리트 (E)                    31.9     27.4     31.4     24.3     35.5     11.2일
− 첫 10분 한 바퀴 (T)             32.3     28.8     31.4     25.3     33.4     8.0일
− 구간 개방                      29.8     26.4     28.9     24.3     33.8     9.5일
− 초반 사냥터·자리 12               33.4     31.9     32.6        —     34.9     3.0일
− 계열 사다리 (싼 2장 개업은 둠)        30.8     27.4     30.5     24.9     33.6     8.6일
− 드랍 상자                      30.4     26.9     29.4     23.9     34.3     10.4일
− 모객 전부                      30.9     27.4     30.9     25.3     33.8     8.5일
+ 신규 자동 쉼 6 (실험)             30.8     27.9     30.4     23.6     34.4     10.8일
(† = 즐기는 모험가 0으로 멈춘 월드 수, — = 70일 안에 엔딩 못 봄)
